,Bike Name,Price,Engine cc
0,Honda Hness CB350 [2023],"<span class=""font18"">₹ 2,09,857</span>",<span>348.36 cc</span>
1,Honda CB350RS [2023],"<span class=""font18"">₹ 2,14,856</span>",<span>348.36 cc</span>
2,Honda Shine 100,"<span class=""font18"">₹ 64,900</span>",<span>100 cc</span>
3,Honda Activa 6G,"<span class=""font18"">₹ 74,187</span>",<span>109.51 cc</span>
4,Honda SP 125,"<span class=""font18"">₹ 83,096</span>",<span>124 cc</span>
5,Honda Shine,"<span class=""font18"">₹ 78,008</span>",<span>123.94 cc</span>
6,Honda Dio,"<span class=""font18"">₹ 71,508</span>",<span>109.51 cc</span>
7,Honda Unicorn,"<span class=""font18"">₹ 1,04,991</span>",<span>162.7 cc</span>
8,Honda Hness CB350,"<span class=""font18"">₹ 2,00,349</span>",<span>348.36 cc</span>
9,Honda Hornet 2.0,"<span class=""font18"">₹ 1,36,399</span>",<span>184.4 cc</span>
10,Honda Activa 125,"<span class=""font18"">₹ 78,405</span>",<span>124 cc</span>
11,Honda Livo,"<span class=""font18"">₹ 75,665</span>",<span>109.51 cc</span>
12,Honda X-Blade,"<span class=""font18"">₹ 1,15,764</span>",<span>162.71 cc</span>
13,Honda CB350RS,"<span class=""font18"">₹ 2,05,107</span>",<span>348.36 cc</span>
14,Honda CB300F,"<span class=""font18"">₹ 2,26,217</span>",<span>293.52 cc</span>
15,Honda CB300R,"<span class=""font18"">₹ 2,77,332</span>",<span>286 cc</span>
16,Honda CD 110 Dream,"<span class=""font18"">₹ 71,310</span>",<span>109.51 cc</span>
17,Honda CBR 650R,"<span class=""font18"">₹ 9,34,817</span>",<span>648.72 cc</span>
18,Honda CB200X,"<span class=""font18"">₹ 1,48,556</span>",<span>184.4 cc</span>
19,Honda Grazia,"<span class=""font18"">₹ 82,403</span>",<span>124 cc</span>
20,Honda CBR1000RR-R Fireblade,"<span class=""font18"">₹ 23,72,222</span>","<span>1,000 cc</span>"
21,Honda Goldwing,"<span class=""font18"">₹ 39,88,635</span>","<span>1,833 cc</span>"
22,Honda Africa Twin,"<span class=""font18"">₹ 16,01,500</span>","<span>1,082 cc</span>"
23,Honda CB650R,"<span class=""font18"">₹ 9,14,337</span>",<span>648.72 cc</span>
