,Movie Title,Year,Duration,Movie Type
0,The Shawshank Redemption,1994,142,Dram
1,The Godfather,1972,175,"Crime, Dram"
2,The Dark Knight,2008,152,"Action, Crime, Dram"
3,The Godfather Part II,1974,202,"Crime, Dram"
4,Schindler's List,1993,195,"Biography, Drama, History"
5,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Dram"
6,12 Angry Men,1957,96,"Crime, Dram"
7,Pulp Fiction,1994,154,"Crime, Dram"
8,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Dram"
9,Inception,2010,148,"Action, Adventure, Sci-Fi"
10,Fight Club,1999,139,Dram
11,Forrest Gump,1994,142,"Drama, Rom"
12,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Dram"
13,"Il buono, il brutto, il cattivo",1966,161,"Adventure, West"
14,Jai Bhim,2021,164,"Crime, Drama, Mystery"
15,GoodFellas,1990,145,"Biography, Crime, Dram"
16,The Matrix,1999,136,"Action, Sci-Fi"
17,One Flew Over the Cuckoo's Nest,1975,133,Dram
18,The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy"
19,Interstellar,2014,169,"Adventure, Drama, Sci-Fi"
20,Saving Private Ryan,1998,169,"Drama, W"
21,The Silence of the Lambs,1991,118,"Crime, Drama, Thri"
22,Se7en,1995,127,"Crime, Drama, Mystery"
23,Star Wars,1977,121,"Action, Adventure, Fantasy"
24,The Green Mile,1999,189,"Crime, Drama, Fantasy"
25,Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family"
26,La vita è bella,1997,116,"Comedy, Drama, Rom"
27,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi"
28,Cidade de Deus,2002,130,"Crime, Dram"
29,It's a Wonderful Life,1946,130,"Drama, Family, Fantasy"
30,Shichinin no samurai,1954,207,"Action, Dram"
31,Seppuku,1962,133,"Action, Drama, Mystery"
32,Gisaengchung,2019,132,"Drama, Thri"
33,The Departed,2006,151,"Crime, Drama, Thri"
34,Whiplash,2014,106,"Drama, Musi"
35,Casablanca,1942,102,"Drama, Romance, W"
36,Léon,1994,110,"Action, Crime, Dram"
37,Gladiator,2000,155,"Action, Adventure, Dram"
38,Alien,1979,117,"Horror, Sci-Fi"
39,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi"
40,The Prestige,2006,130,"Drama, Mystery, Sci-Fi"
41,Apocalypse Now,1979,147,"Drama, Mystery, W"
42,The Lion King,1994,88,"Animation, Adventure, Dram"
43,The Usual Suspects,1995,106,"Crime, Drama, Mystery"
44,The Pianist,2002,150,"Biography, Drama, Musi"
45,American History X,1998,119,"Crime, Dram"
46,The Intouchables,2011,112,"Biography, Comedy, Dram"
47,Psycho,1960,109,"Horror, Mystery, Thri"
48,Once Upon a Time in the West,1968,165,West
49,Hotaru no haka,1988,89,"Animation, Drama, W"
